# Region type : patch inlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	sum(phi)
        0.005	-4.472685e-04
         0.01	-6.183002e-04
        0.015	-7.031279e-04
         0.02	-7.519280e-04
        0.025	-7.813342e-04
         0.03	-7.994691e-04
        0.035	-8.104220e-04
         0.04	-8.167781e-04
        0.045	-8.200710e-04
         0.05	-8.213476e-04
        0.055	-8.212721e-04
         0.06	-8.203161e-04
        0.065	-8.187863e-04
         0.07	-8.168994e-04
        0.075	-8.148083e-04
         0.08	-8.126034e-04
        0.085	-8.103540e-04
         0.09	-8.081052e-04
        0.095	-8.058882e-04
          0.1	-8.037231e-04
        0.105	-8.016226e-04
         0.11	-7.995943e-04
        0.115	-7.976427e-04
         0.12	-7.957694e-04
        0.125	-7.939746e-04
         0.13	-7.922565e-04
        0.135	-7.906147e-04
         0.14	-7.890459e-04
        0.145	-7.875487e-04
         0.15	-7.861199e-04
        0.155	-7.847567e-04
         0.16	-7.834562e-04
        0.165	-7.822164e-04
         0.17	-7.810339e-04
        0.175	-7.799066e-04
         0.18	-7.788319e-04
        0.185	-7.778625e-04
         0.19	-7.769158e-04
        0.195	-7.759819e-04
          0.2	-7.750551e-04
        0.205	-7.742096e-04
         0.21	-7.734040e-04
        0.215	-7.726358e-04
         0.22	-7.719027e-04
        0.225	-7.712050e-04
         0.23	-7.705398e-04
        0.235	-7.699059e-04
         0.24	-7.693017e-04
        0.245	-7.687251e-04
         0.25	-7.681759e-04
        0.255	-7.676523e-04
         0.26	-7.671538e-04
        0.265	-7.666782e-04
         0.27	-7.662259e-04
        0.275	-7.657936e-04
         0.28	-7.653821e-04
        0.285	-7.649897e-04
         0.29	-7.646160e-04
        0.295	-7.642598e-04
          0.3	-7.639202e-04
        0.305	-7.635961e-04
         0.31	-7.632877e-04
        0.315	-7.629942e-04
         0.32	-7.627136e-04
        0.325	-7.624470e-04
         0.33	-7.621919e-04
        0.335	-7.619492e-04
         0.34	-7.617179e-04
        0.345	-7.614979e-04
         0.35	-7.612876e-04
        0.355	-7.610877e-04
         0.36	-7.608965e-04
        0.365	-7.607147e-04
         0.37	-7.605406e-04
        0.375	-7.604227e-04
         0.38	-7.602626e-04
        0.385	-7.601557e-04
         0.39	-7.600080e-04
        0.395	-7.599106e-04
          0.4	-7.597748e-04
        0.405	-7.596938e-04
         0.41	-7.595682e-04
        0.415	-7.594865e-04
         0.42	-7.593703e-04
        0.425	-7.592907e-04
         0.43	-7.591837e-04
        0.435	-7.591117e-04
         0.44	-7.590131e-04
        0.445	-7.589778e-04
         0.45	-7.589434e-04
        0.455	-7.589098e-04
         0.46	-7.588762e-04
        0.465	-7.588433e-04
         0.47	-7.588113e-04
        0.475	-7.587799e-04
         0.48	-7.587489e-04
        0.485	-7.587184e-04
         0.49	-7.586883e-04
        0.495	-7.586587e-04
          0.5	-7.586297e-04
        0.505	-7.586013e-04
         0.51	-7.585733e-04
        0.515	-7.585459e-04
         0.52	-7.585190e-04
        0.525	-7.584926e-04
         0.53	-7.584666e-04
        0.535	-7.584410e-04
         0.54	-7.584159e-04
        0.545	-7.583912e-04
         0.55	-7.583670e-04
        0.555	-7.583431e-04
         0.56	-7.583198e-04
        0.565	-7.582968e-04
         0.57	-7.582742e-04
        0.575	-7.582521e-04
         0.58	-7.582303e-04
        0.585	-7.582089e-04
         0.59	-7.581878e-04
        0.595	-7.581672e-04
          0.6	-7.581469e-04
        0.605	-7.581270e-04
         0.61	-7.581074e-04
        0.615	-7.580882e-04
         0.62	-7.580693e-04
        0.625	-7.580507e-04
         0.63	-7.580325e-04
        0.635	-7.580146e-04
         0.64	-7.579970e-04
        0.645	-7.579797e-04
         0.65	-7.579627e-04
        0.655	-7.579460e-04
         0.66	-7.579296e-04
        0.665	-7.579135e-04
         0.67	-7.578977e-04
        0.675	-7.578821e-04
         0.68	-7.578669e-04
        0.685	-7.578519e-04
         0.69	-7.578371e-04
        0.695	-7.578227e-04
          0.7	-7.578085e-04
        0.705	-7.577945e-04
         0.71	-7.577808e-04
        0.715	-7.577673e-04
         0.72	-7.577540e-04
        0.725	-7.577410e-04
         0.73	-7.577282e-04
        0.735	-7.577157e-04
         0.74	-7.577034e-04
        0.745	-7.576912e-04
         0.75	-7.576793e-04
        0.755	-7.576676e-04
         0.76	-7.576561e-04
        0.765	-7.576449e-04
         0.77	-7.576338e-04
        0.775	-7.576229e-04
         0.78	-7.576122e-04
        0.785	-7.576017e-04
         0.79	-7.575914e-04
        0.795	-7.575812e-04
          0.8	-7.575712e-04
        0.805	-7.575615e-04
         0.81	-7.575518e-04
        0.815	-7.575424e-04
         0.82	-7.575331e-04
        0.825	-7.575240e-04
         0.83	-7.575150e-04
        0.835	-7.575062e-04
         0.84	-7.574976e-04
        0.845	-7.574891e-04
         0.85	-7.574807e-04
        0.855	-7.574725e-04
         0.86	-7.574645e-04
        0.865	-7.574566e-04
         0.87	-7.574488e-04
        0.875	-7.574412e-04
         0.88	-7.574337e-04
        0.885	-7.574263e-04
         0.89	-7.574191e-04
        0.895	-7.574120e-04
          0.9	-7.574050e-04
        0.905	-7.573981e-04
         0.91	-7.573914e-04
        0.915	-7.573848e-04
         0.92	-7.573783e-04
        0.925	-7.573719e-04
         0.93	-7.573656e-04
        0.935	-7.573594e-04
         0.94	-7.573534e-04
        0.945	-7.573474e-04
         0.95	-7.573416e-04
        0.955	-7.573358e-04
         0.96	-7.573302e-04
        0.965	-7.573246e-04
         0.97	-7.573192e-04
        0.975	-7.573138e-04
         0.98	-7.573086e-04
        0.985	-7.573034e-04
         0.99	-7.572984e-04
        0.995	-7.572934e-04
            1	-7.572885e-04
        1.005	-7.572837e-04
         1.01	-7.572790e-04
        1.015	-7.572743e-04
         1.02	-7.572698e-04
        1.025	-7.572653e-04
         1.03	-7.572609e-04
        1.035	-7.572566e-04
         1.04	-7.572523e-04
        1.045	-7.572481e-04
         1.05	-7.572441e-04
        1.055	-7.572400e-04
         1.06	-7.572361e-04
        1.065	-7.572322e-04
         1.07	-7.572284e-04
        1.075	-7.572246e-04
         1.08	-7.572209e-04
        1.085	-7.572173e-04
         1.09	-7.572138e-04
        1.095	-7.572103e-04
          1.1	-7.572068e-04
        1.105	-7.572035e-04
         1.11	-7.572002e-04
        1.115	-7.571969e-04
         1.12	-7.571937e-04
        1.125	-7.571906e-04
         1.13	-7.571875e-04
        1.135	-7.571845e-04
         1.14	-7.571815e-04
        1.145	-7.571786e-04
         1.15	-7.571757e-04
        1.155	-7.571729e-04
         1.16	-7.571701e-04
        1.165	-7.571674e-04
         1.17	-7.571647e-04
        1.175	-7.571621e-04
         1.18	-7.571595e-04
        1.185	-7.571570e-04
         1.19	-7.571545e-04
        1.195	-7.571520e-04
          1.2	-7.571496e-04
        1.205	-7.571473e-04
         1.21	-7.571449e-04
        1.215	-7.571427e-04
         1.22	-7.571404e-04
        1.225	-7.571382e-04
         1.23	-7.571361e-04
        1.235	-7.571339e-04
         1.24	-7.571319e-04
        1.245	-7.571298e-04
         1.25	-7.571278e-04
        1.255	-7.571258e-04
         1.26	-7.571239e-04
        1.265	-7.571220e-04
         1.27	-7.571201e-04
        1.275	-7.571183e-04
         1.28	-7.571165e-04
        1.285	-7.571147e-04
         1.29	-7.571129e-04
        1.295	-7.571112e-04
          1.3	-7.571095e-04
        1.305	-7.571079e-04
         1.31	-7.571063e-04
        1.315	-7.571047e-04
         1.32	-7.571031e-04
        1.325	-7.571016e-04
         1.33	-7.571000e-04
        1.335	-7.570985e-04
         1.34	-7.570971e-04
        1.345	-7.570957e-04
         1.35	-7.570942e-04
        1.355	-7.570929e-04
         1.36	-7.570915e-04
        1.365	-7.570902e-04
         1.37	-7.570888e-04
        1.375	-7.570876e-04
         1.38	-7.570863e-04
        1.385	-7.570850e-04
         1.39	-7.570838e-04
        1.395	-7.570826e-04
          1.4	-7.570814e-04
        1.405	-7.570803e-04
         1.41	-7.570791e-04
        1.415	-7.570780e-04
         1.42	-7.570769e-04
        1.425	-7.570758e-04
         1.43	-7.570748e-04
        1.435	-7.570737e-04
         1.44	-7.570727e-04
        1.445	-7.570717e-04
         1.45	-7.570707e-04
        1.455	-7.570697e-04
         1.46	-7.570688e-04
        1.465	-7.570678e-04
         1.47	-7.570669e-04
        1.475	-7.570660e-04
         1.48	-7.570651e-04
        1.485	-7.570643e-04
         1.49	-7.570634e-04
        1.495	-7.570626e-04
          1.5	-7.570617e-04
        1.505	-7.570609e-04
         1.51	-7.570601e-04
        1.515	-7.570593e-04
         1.52	-7.570586e-04
        1.525	-7.570578e-04
         1.53	-7.570571e-04
        1.535	-7.570563e-04
         1.54	-7.570556e-04
        1.545	-7.570549e-04
         1.55	-7.570542e-04
        1.555	-7.570535e-04
         1.56	-7.570529e-04
        1.565	-7.570522e-04
         1.57	-7.570516e-04
        1.575	-7.570509e-04
         1.58	-7.570503e-04
        1.585	-7.570497e-04
         1.59	-7.570491e-04
        1.595	-7.570485e-04
          1.6	-7.570479e-04
        1.605	-7.570474e-04
         1.61	-7.570468e-04
        1.615	-7.570463e-04
         1.62	-7.570457e-04
        1.625	-7.570452e-04
         1.63	-7.570447e-04
        1.635	-7.570442e-04
         1.64	-7.570437e-04
        1.645	-7.570432e-04
         1.65	-7.570427e-04
        1.655	-7.570422e-04
         1.66	-7.570417e-04
        1.665	-7.570413e-04
         1.67	-7.570408e-04
        1.675	-7.570404e-04
         1.68	-7.570399e-04
        1.685	-7.570395e-04
         1.69	-7.570391e-04
        1.695	-7.570387e-04
          1.7	-7.570383e-04
        1.705	-7.570379e-04
         1.71	-7.570375e-04
        1.715	-7.570371e-04
         1.72	-7.570367e-04
        1.725	-7.570363e-04
         1.73	-7.570360e-04
        1.735	-7.570356e-04
         1.74	-7.570353e-04
        1.745	-7.570349e-04
         1.75	-7.570346e-04
        1.755	-7.570342e-04
         1.76	-7.570339e-04
        1.765	-7.570336e-04
         1.77	-7.570333e-04
        1.775	-7.570329e-04
         1.78	-7.570326e-04
        1.785	-7.570323e-04
         1.79	-7.570320e-04
        1.795	-7.570318e-04
          1.8	-7.570315e-04
        1.805	-7.570312e-04
         1.81	-7.570309e-04
        1.815	-7.570306e-04
         1.82	-7.570304e-04
        1.825	-7.570301e-04
