# Region type : patch outlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	areaAverage(p)
        0.005	0.000000e+00
         0.01	0.000000e+00
        0.015	0.000000e+00
         0.02	0.000000e+00
        0.025	0.000000e+00
         0.03	0.000000e+00
        0.035	0.000000e+00
         0.04	0.000000e+00
        0.045	0.000000e+00
         0.05	0.000000e+00
        0.055	0.000000e+00
         0.06	0.000000e+00
        0.065	0.000000e+00
         0.07	0.000000e+00
        0.075	0.000000e+00
         0.08	0.000000e+00
        0.085	0.000000e+00
         0.09	0.000000e+00
        0.095	0.000000e+00
          0.1	0.000000e+00
        0.105	0.000000e+00
         0.11	0.000000e+00
        0.115	0.000000e+00
         0.12	0.000000e+00
        0.125	0.000000e+00
         0.13	0.000000e+00
        0.135	0.000000e+00
         0.14	0.000000e+00
        0.145	0.000000e+00
         0.15	0.000000e+00
        0.155	0.000000e+00
         0.16	0.000000e+00
        0.165	0.000000e+00
         0.17	0.000000e+00
        0.175	0.000000e+00
         0.18	0.000000e+00
        0.185	0.000000e+00
         0.19	0.000000e+00
        0.195	0.000000e+00
          0.2	0.000000e+00
        0.205	0.000000e+00
         0.21	0.000000e+00
        0.215	0.000000e+00
         0.22	0.000000e+00
        0.225	0.000000e+00
         0.23	0.000000e+00
        0.235	0.000000e+00
         0.24	0.000000e+00
        0.245	0.000000e+00
         0.25	0.000000e+00
        0.255	0.000000e+00
         0.26	0.000000e+00
        0.265	0.000000e+00
         0.27	0.000000e+00
        0.275	0.000000e+00
         0.28	0.000000e+00
        0.285	0.000000e+00
         0.29	0.000000e+00
        0.295	0.000000e+00
          0.3	0.000000e+00
        0.305	0.000000e+00
         0.31	0.000000e+00
        0.315	0.000000e+00
         0.32	0.000000e+00
        0.325	0.000000e+00
         0.33	0.000000e+00
        0.335	0.000000e+00
         0.34	0.000000e+00
        0.345	0.000000e+00
         0.35	0.000000e+00
        0.355	0.000000e+00
         0.36	0.000000e+00
        0.365	0.000000e+00
         0.37	0.000000e+00
        0.375	0.000000e+00
         0.38	0.000000e+00
        0.385	0.000000e+00
         0.39	0.000000e+00
        0.395	0.000000e+00
          0.4	0.000000e+00
        0.405	0.000000e+00
         0.41	0.000000e+00
        0.415	0.000000e+00
         0.42	0.000000e+00
        0.425	0.000000e+00
         0.43	0.000000e+00
        0.435	0.000000e+00
         0.44	0.000000e+00
        0.445	0.000000e+00
         0.45	0.000000e+00
        0.455	0.000000e+00
         0.46	0.000000e+00
        0.465	0.000000e+00
         0.47	0.000000e+00
        0.475	0.000000e+00
         0.48	0.000000e+00
        0.485	0.000000e+00
         0.49	0.000000e+00
        0.495	0.000000e+00
          0.5	0.000000e+00
        0.505	0.000000e+00
         0.51	0.000000e+00
        0.515	0.000000e+00
         0.52	0.000000e+00
        0.525	0.000000e+00
         0.53	0.000000e+00
        0.535	0.000000e+00
         0.54	0.000000e+00
        0.545	0.000000e+00
         0.55	0.000000e+00
        0.555	0.000000e+00
         0.56	0.000000e+00
        0.565	0.000000e+00
         0.57	0.000000e+00
        0.575	0.000000e+00
         0.58	0.000000e+00
        0.585	0.000000e+00
         0.59	0.000000e+00
        0.595	0.000000e+00
          0.6	0.000000e+00
        0.605	0.000000e+00
         0.61	0.000000e+00
        0.615	0.000000e+00
         0.62	0.000000e+00
        0.625	0.000000e+00
         0.63	0.000000e+00
        0.635	0.000000e+00
         0.64	0.000000e+00
        0.645	0.000000e+00
         0.65	0.000000e+00
        0.655	0.000000e+00
         0.66	0.000000e+00
        0.665	0.000000e+00
         0.67	0.000000e+00
        0.675	0.000000e+00
         0.68	0.000000e+00
        0.685	0.000000e+00
         0.69	0.000000e+00
        0.695	0.000000e+00
          0.7	0.000000e+00
        0.705	0.000000e+00
         0.71	0.000000e+00
        0.715	0.000000e+00
         0.72	0.000000e+00
        0.725	0.000000e+00
         0.73	0.000000e+00
        0.735	0.000000e+00
         0.74	0.000000e+00
        0.745	0.000000e+00
         0.75	0.000000e+00
        0.755	0.000000e+00
         0.76	0.000000e+00
        0.765	0.000000e+00
         0.77	0.000000e+00
        0.775	0.000000e+00
         0.78	0.000000e+00
        0.785	0.000000e+00
         0.79	0.000000e+00
        0.795	0.000000e+00
          0.8	0.000000e+00
        0.805	0.000000e+00
         0.81	0.000000e+00
        0.815	0.000000e+00
         0.82	0.000000e+00
        0.825	0.000000e+00
         0.83	0.000000e+00
        0.835	0.000000e+00
         0.84	0.000000e+00
        0.845	0.000000e+00
         0.85	0.000000e+00
        0.855	0.000000e+00
         0.86	0.000000e+00
        0.865	0.000000e+00
         0.87	0.000000e+00
        0.875	0.000000e+00
         0.88	0.000000e+00
        0.885	0.000000e+00
         0.89	0.000000e+00
        0.895	0.000000e+00
          0.9	0.000000e+00
        0.905	0.000000e+00
         0.91	0.000000e+00
        0.915	0.000000e+00
         0.92	0.000000e+00
        0.925	0.000000e+00
         0.93	0.000000e+00
        0.935	0.000000e+00
         0.94	0.000000e+00
        0.945	0.000000e+00
         0.95	0.000000e+00
        0.955	0.000000e+00
         0.96	0.000000e+00
        0.965	0.000000e+00
         0.97	0.000000e+00
        0.975	0.000000e+00
         0.98	0.000000e+00
        0.985	0.000000e+00
         0.99	0.000000e+00
        0.995	0.000000e+00
            1	0.000000e+00
        1.005	0.000000e+00
         1.01	0.000000e+00
        1.015	0.000000e+00
         1.02	0.000000e+00
        1.025	0.000000e+00
         1.03	0.000000e+00
        1.035	0.000000e+00
         1.04	0.000000e+00
        1.045	0.000000e+00
         1.05	0.000000e+00
        1.055	0.000000e+00
         1.06	0.000000e+00
        1.065	0.000000e+00
         1.07	0.000000e+00
        1.075	0.000000e+00
         1.08	0.000000e+00
        1.085	0.000000e+00
         1.09	0.000000e+00
        1.095	0.000000e+00
          1.1	0.000000e+00
        1.105	0.000000e+00
         1.11	0.000000e+00
        1.115	0.000000e+00
         1.12	0.000000e+00
        1.125	0.000000e+00
         1.13	0.000000e+00
        1.135	0.000000e+00
         1.14	0.000000e+00
        1.145	0.000000e+00
         1.15	0.000000e+00
        1.155	0.000000e+00
         1.16	0.000000e+00
        1.165	0.000000e+00
         1.17	0.000000e+00
        1.175	0.000000e+00
         1.18	0.000000e+00
        1.185	0.000000e+00
         1.19	0.000000e+00
        1.195	0.000000e+00
          1.2	0.000000e+00
        1.205	0.000000e+00
         1.21	0.000000e+00
        1.215	0.000000e+00
         1.22	0.000000e+00
        1.225	0.000000e+00
         1.23	0.000000e+00
        1.235	0.000000e+00
         1.24	0.000000e+00
        1.245	0.000000e+00
         1.25	0.000000e+00
        1.255	0.000000e+00
         1.26	0.000000e+00
        1.265	0.000000e+00
         1.27	0.000000e+00
        1.275	0.000000e+00
         1.28	0.000000e+00
        1.285	0.000000e+00
         1.29	0.000000e+00
        1.295	0.000000e+00
          1.3	0.000000e+00
        1.305	0.000000e+00
         1.31	0.000000e+00
        1.315	0.000000e+00
         1.32	0.000000e+00
        1.325	0.000000e+00
         1.33	0.000000e+00
        1.335	0.000000e+00
         1.34	0.000000e+00
        1.345	0.000000e+00
         1.35	0.000000e+00
        1.355	0.000000e+00
         1.36	0.000000e+00
        1.365	0.000000e+00
         1.37	0.000000e+00
        1.375	0.000000e+00
         1.38	0.000000e+00
        1.385	0.000000e+00
         1.39	0.000000e+00
        1.395	0.000000e+00
          1.4	0.000000e+00
        1.405	0.000000e+00
         1.41	0.000000e+00
        1.415	0.000000e+00
         1.42	0.000000e+00
        1.425	0.000000e+00
         1.43	0.000000e+00
        1.435	0.000000e+00
         1.44	0.000000e+00
        1.445	0.000000e+00
         1.45	0.000000e+00
        1.455	0.000000e+00
         1.46	0.000000e+00
        1.465	0.000000e+00
         1.47	0.000000e+00
        1.475	0.000000e+00
         1.48	0.000000e+00
        1.485	0.000000e+00
         1.49	0.000000e+00
        1.495	0.000000e+00
          1.5	0.000000e+00
        1.505	0.000000e+00
         1.51	0.000000e+00
        1.515	0.000000e+00
         1.52	0.000000e+00
        1.525	0.000000e+00
         1.53	0.000000e+00
        1.535	0.000000e+00
         1.54	0.000000e+00
