  
       XFOIL         Version 6.99
  
 Calculated polar for: SYMM 2406                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.3088   0.00000  -0.00084  -0.0615   0.0000   0.0000   0.0000   0.0000
  -4.500  -0.2512   0.00000  -0.00081  -0.0618   0.0000   0.0000   0.0000   0.0000
  -4.000  -0.1936   0.00000  -0.00078  -0.0621   0.0000   0.0000   0.0000   0.0000
  -3.500  -0.1360   0.00000  -0.00075  -0.0624   0.0000   0.0000   0.0000   0.0000
  -3.000  -0.0784   0.00000  -0.00073  -0.0627   0.0000   0.0000   0.0000   0.0000
  -2.500  -0.0207   0.00000  -0.00070  -0.0630   0.0000   0.0000   0.0000   0.0000
  -2.000   0.0369   0.00000  -0.00069  -0.0633   0.0000   0.0000   0.0000   0.0000
  -1.500   0.0945   0.00000  -0.00068  -0.0636   0.0000   0.0000   0.0000   0.0000
  -1.000   0.1521   0.00000  -0.00067  -0.0639   0.0000   0.0000   0.0000   0.0000
  -0.500   0.2098   0.00000  -0.00066  -0.0642   0.0000   0.0000   0.0000   0.0000
   0.000   0.2673   0.00000  -0.00066  -0.0645   0.0000   0.0000   0.0000   0.0000
   0.500   0.3249   0.00000  -0.00066  -0.0648   0.0000   0.0000   0.0000   0.0000
   1.000   0.3825   0.00000  -0.00067  -0.0652   0.0000   0.0000   0.0000   0.0000
   1.500   0.4400   0.00000  -0.00068  -0.0655   0.0000   0.0000   0.0000   0.0000
   2.000   0.4975   0.00000  -0.00070  -0.0658   0.0000   0.0000   0.0000   0.0000
   2.500   0.5549   0.00000  -0.00071  -0.0661   0.0000   0.0000   0.0000   0.0000
   3.000   0.6123   0.00000  -0.00074  -0.0664   0.0000   0.0000   0.0000   0.0000
   3.500   0.6697   0.00000  -0.00076  -0.0667   0.0000   0.0000   0.0000   0.0000
   4.000   0.7270   0.00000  -0.00079  -0.0671   0.0000   0.0000   0.0000   0.0000
   4.500   0.7842   0.00000  -0.00083  -0.0674   0.0000   0.0000   0.0000   0.0000
   5.000   0.8414   0.00000  -0.00086  -0.0677   0.0000   0.0000   0.0000   0.0000
   5.500   0.8985   0.00000  -0.00091  -0.0680   0.0000   0.0000   0.0000   0.0000
   6.000   0.9556   0.00000  -0.00095  -0.0683   0.0000   0.0000   0.0000   0.0000
   6.500   1.0126   0.00000  -0.00100  -0.0687   0.0000   0.0000   0.0000   0.0000
   7.000   1.0695   0.00000  -0.00105  -0.0690   0.0000   0.0000   0.0000   0.0000
   7.500   1.1263   0.00000  -0.00111  -0.0693   0.0000   0.0000   0.0000   0.0000
   8.000   1.1831   0.00000  -0.00117  -0.0696   0.0000   0.0000   0.0000   0.0000
   8.500   1.2397   0.00000  -0.00124  -0.0699   0.0000   0.0000   0.0000   0.0000
   9.000   1.2963   0.00000  -0.00131  -0.0703   0.0000   0.0000   0.0000   0.0000
   9.500   1.3527   0.00000  -0.00138  -0.0706   0.0000   0.0000   0.0000   0.0000
  10.000   1.4091   0.00000  -0.00146  -0.0709   0.0000   0.0000   0.0000   0.0000
  10.500   1.4654   0.00000  -0.00153  -0.0712   0.0000   0.0000   0.0000   0.0000
  11.000   1.5215   0.00000  -0.00162  -0.0715   0.0000   0.0000   0.0000   0.0000
  11.500   1.5775   0.00000  -0.00171  -0.0718   0.0000   0.0000   0.0000   0.0000
  12.000   1.6335   0.00000  -0.00180  -0.0721   0.0000   0.0000   0.0000   0.0000
  12.500   1.6893   0.00000  -0.00189  -0.0724   0.0000   0.0000   0.0000   0.0000
  13.000   1.7449   0.00000  -0.00199  -0.0728   0.0000   0.0000   0.0000   0.0000
  13.500   1.8004   0.00000  -0.00209  -0.0731   0.0000   0.0000   0.0000   0.0000
  14.000   1.8558   0.00000  -0.00219  -0.0734   0.0000   0.0000   0.0000   0.0000
  14.500   1.9111   0.00000  -0.00230  -0.0737   0.0000   0.0000   0.0000   0.0000
  15.000   1.9662   0.00000  -0.00241  -0.0740   0.0000   0.0000   0.0000   0.0000
