  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0016                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000  -0.2183   0.00681   0.00083  -0.0019   0.7319   0.4489  16.5793 129.7774
  -1.500  -0.1639   0.00671   0.00077  -0.0014   0.6961   0.4833  18.4126 131.5852
  -1.000  -0.1094   0.00665   0.00074  -0.0009   0.6602   0.5177  20.2554 133.3828
  -0.500  -0.0547   0.00663   0.00072  -0.0004   0.6240   0.5524  22.1146 135.1882
   0.500   0.0547   0.00663   0.00072   0.0004   0.5524   0.6240  25.8126 138.8849
   1.000   0.1094   0.00665   0.00074   0.0009   0.5176   0.6602  27.6175 140.7445
   1.500   0.1639   0.00671   0.00078   0.0014   0.4833   0.6961  29.4153 142.5880
   2.000   0.2183   0.00681   0.00083   0.0019   0.4489   0.7319  31.2227 144.4206
   2.500   0.2725   0.00695   0.00090   0.0025   0.4145   0.7667  33.0474 146.2058
   3.000   0.3267   0.00711   0.00098   0.0030   0.3807   0.8008  34.8647 147.9568
   3.500   0.3805   0.00730   0.00109   0.0037   0.3477   0.8326  36.6562 149.6016
   4.000   0.4340   0.00756   0.00122   0.0044   0.3149   0.8619  38.4596 151.1269
   4.500   0.4869   0.00786   0.00137   0.0052   0.2832   0.8886  40.2428 152.5438
   5.000   0.5390   0.00824   0.00154   0.0062   0.2517   0.9124  42.0524 153.8476
   5.500   0.5904   0.00864   0.00173   0.0073   0.2222   0.9332  43.8054 155.0378
   6.000   0.6415   0.00909   0.00195   0.0084   0.1952   0.9509  45.4771 156.1231
   6.500   0.6936   0.00962   0.00219   0.0092   0.1696   0.9659  47.1492 157.1165
   7.000   0.7505   0.01021   0.00247   0.0089   0.1457   0.9772  48.8281 157.9348
   7.500   0.8174   0.01084   0.00280   0.0063   0.1247   0.9823  50.4693 158.3360
   8.000   0.8848   0.01155   0.00317   0.0034   0.1062   0.9868  52.0705 158.7041
   8.500   0.9498   0.01222   0.00354   0.0011   0.0920   0.9915  53.4858 159.1063
   9.000   1.0175   0.01297   0.00395  -0.0020   0.0795   0.9945  54.8813 159.4240
   9.500   1.0831   0.01373   0.00438  -0.0047   0.0701   0.9981  56.0666 159.8015
  10.000   1.1341   0.01445   0.00476  -0.0044   0.0630   1.0000  57.0582 160.0000
  10.500   1.1600   0.01502   0.00498   0.0010   0.0585   1.0000  57.7439 160.0000
  11.000   1.1856   0.01564   0.00522   0.0065   0.0545   1.0000  58.4014 160.0000
  11.500   1.2105   0.01644   0.00556   0.0118   0.0506   1.0000  59.0569 160.0000
  12.000   1.2373   0.01718   0.00587   0.0167   0.0477   1.0000  59.5968 160.0000
  12.500   1.2638   0.01824   0.00638   0.0210   0.0448   1.0000  60.1395 160.0000
  13.000   1.2941   0.01935   0.00694   0.0242   0.0422   1.0000  60.6667 160.0000
  13.500   1.3201   0.02084   0.00774   0.0274   0.0399   1.0000  61.1385 160.0000
  14.000   1.3478   0.02237   0.00859   0.0300   0.0380   1.0000  61.5598 160.0000
  14.500   1.3654   0.02475   0.00999   0.0328   0.0360   1.0000  61.9924 160.0000
  15.000   1.3904   0.02683   0.01124   0.0345   0.0346   1.0000  62.3190 160.0000
  15.500   1.4087   0.02963   0.01298   0.0359   0.0332   1.0000  62.6686 160.0000
  16.000   1.4129   0.03400   0.01591   0.0369   0.0318   1.0000  62.9990 160.0000
  16.500   1.4265   0.03783   0.01848   0.0370   0.0310   1.0000  63.2193 160.0000
  17.000   1.4321   0.04275   0.02192   0.0365   0.0300   1.0000  63.4626 160.0000
  17.500   1.4290   0.04895   0.02641   0.0352   0.0292   1.0000  63.6787 160.0000
  18.000   1.4127   0.05714   0.03264   0.0327   0.0285   1.0000  63.8760 160.0000
