#      x          Cp  
     1.00006    0.41178
     0.99183    0.22760
     0.98063    0.17251
     0.96766    0.12569
     0.95328    0.08938
     0.93795    0.05815
     0.92209    0.03171
     0.90593    0.00838
     0.88963   -0.01262
     0.87324   -0.03143
     0.85682   -0.04906
     0.84037   -0.06501
     0.82389   -0.08036
     0.80741   -0.09455
     0.79092   -0.10837
     0.77441   -0.12128
     0.75790   -0.13384
     0.74138   -0.14625
     0.72486   -0.15784
     0.70834   -0.16956
     0.69181   -0.18082
     0.67529   -0.19198
     0.65876   -0.20271
     0.64224   -0.21382
     0.62572   -0.22437
     0.60921   -0.23511
     0.59270   -0.24540
     0.57620   -0.25620
     0.55971   -0.26636
     0.54323   -0.27701
     0.52676   -0.28721
     0.51031   -0.29780
     0.49386   -0.30798
     0.47745   -0.31860
     0.46105   -0.32896
     0.44467   -0.33918
     0.42832   -0.34983
     0.41199   -0.36015
     0.39570   -0.37056
     0.37944   -0.38113
     0.36321   -0.39151
     0.34703   -0.40211
     0.33090   -0.41283
     0.31481   -0.42318
     0.29879   -0.43423
     0.28283   -0.44518
     0.26695   -0.45661
     0.25118   -0.46881
     0.23554   -0.48163
     0.22009   -0.49682
     0.20490   -0.51611
     0.19021   -0.55663
     0.17600   -0.57162
     0.16211   -0.57393
     0.14848   -0.56785
     0.13512   -0.55442
     0.12207   -0.53321
     0.10940   -0.50565
     0.09720   -0.47043
     0.08558   -0.42863
     0.07469   -0.38088
     0.06465   -0.32593
     0.05557   -0.26693
     0.04749   -0.20312
     0.04041   -0.13572
     0.03424   -0.06551
     0.02890    0.00739
     0.02427    0.08265
     0.02026    0.16110
     0.01677    0.24250
     0.01373    0.32642
     0.01109    0.41367
     0.00878    0.50434
     0.00678    0.59718
     0.00505    0.69066
     0.00358    0.78207
     0.00236    0.86677
     0.00137    0.93767
     0.00061    0.98542
     0.00009    0.99958
    -0.00022    0.97103
    -0.00030    0.89589
    -0.00017    0.77305
     0.00019    0.60140
     0.00080    0.39120
     0.00168    0.16778
     0.00283   -0.04428
     0.00426   -0.22559
     0.00595   -0.36790
     0.00792   -0.47160
     0.01017   -0.54423
     0.01272   -0.58991
     0.01560   -0.61182
     0.01885   -0.62082
     0.02251   -0.61671
     0.02668   -0.60285
     0.03144   -0.58286
     0.03692   -0.55686
     0.04326   -0.52609
     0.05065   -0.49154
     0.05927   -0.45518
     0.06926   -0.41684
     0.08070   -0.37914
     0.09354   -0.34233
     0.10761   -0.30923
     0.12265   -0.28022
     0.13843   -0.25630
     0.15471   -0.23875
     0.17123   -0.22873
     0.18772   -0.22899
     0.20399   -0.25554
     0.21999   -0.26280
     0.23599   -0.26235
     0.25201   -0.25958
     0.26810   -0.25476
     0.28425   -0.24869
     0.30047   -0.24202
     0.31676   -0.23435
     0.33310   -0.22663
     0.34950   -0.21848
     0.36595   -0.20992
     0.38244   -0.20143
     0.39898   -0.19268
     0.41555   -0.18410
     0.43216   -0.17539
     0.44880   -0.16670
     0.46548   -0.15795
     0.48218   -0.14935
     0.49890   -0.14071
     0.51565   -0.13236
     0.53242   -0.12374
     0.54921   -0.11568
     0.56602   -0.10725
     0.58284   -0.09905
     0.59968   -0.09087
     0.61653   -0.08282
     0.63339   -0.07489
     0.65026   -0.06672
     0.66715   -0.05870
     0.68403   -0.05087
     0.70093   -0.04269
     0.71783   -0.03460
     0.73473   -0.02634
     0.75164   -0.01808
     0.76854   -0.00936
     0.78545   -0.00060
     0.80235    0.00851
     0.81925    0.01816
     0.83615    0.02830
     0.85303    0.03917
     0.86990    0.05076
     0.88672    0.06355
     0.90348    0.07801
     0.92009    0.09422
     0.93640    0.11312
     0.95215    0.13586
     0.96691    0.16355
     0.98018    0.20020
     0.99158    0.24626
     0.99994    0.41178
