#      x          Cp  
     1.00006    0.41313
     0.99183    0.22459
     0.98063    0.16702
     0.96766    0.11746
     0.95328    0.07852
     0.93795    0.04468
     0.92209    0.01572
     0.90593   -0.01008
     0.88963   -0.03350
     0.87324   -0.05469
     0.85682   -0.07468
     0.84037   -0.09296
     0.82389   -0.11065
     0.80741   -0.12716
     0.79092   -0.14333
     0.77441   -0.15858
     0.75790   -0.17352
     0.74138   -0.18834
     0.72486   -0.20237
     0.70834   -0.21657
     0.69181   -0.23035
     0.67529   -0.24409
     0.65876   -0.25744
     0.64224   -0.27126
     0.62572   -0.28457
     0.60921   -0.29816
     0.59270   -0.31136
     0.57620   -0.32519
     0.55971   -0.33846
     0.54323   -0.35234
     0.52676   -0.36587
     0.51031   -0.37994
     0.49386   -0.39370
     0.47745   -0.40809
     0.46105   -0.42236
     0.44467   -0.43665
     0.42832   -0.45161
     0.41199   -0.46641
     0.39570   -0.48154
     0.37944   -0.49710
     0.36321   -0.51273
     0.34703   -0.52891
     0.33090   -0.54558
     0.31481   -0.56222
     0.29879   -0.58007
     0.28283   -0.59829
     0.26695   -0.61761
     0.25118   -0.63844
     0.23554   -0.66069
     0.22009   -0.68644
     0.20490   -0.71780
     0.19021   -0.77445
     0.17600   -0.80340
     0.16211   -0.81918
     0.14848   -0.82679
     0.13512   -0.82750
     0.12207   -0.82090
     0.10940   -0.80877
     0.09720   -0.78963
     0.08558   -0.76477
     0.07469   -0.73486
     0.06465   -0.69805
     0.05557   -0.65790
     0.04749   -0.61289
     0.04041   -0.56404
     0.03424   -0.51189
     0.02890   -0.45616
     0.02427   -0.39705
     0.02026   -0.33291
     0.01677   -0.26371
     0.01373   -0.18963
     0.01109   -0.10852
     0.00878   -0.01864
     0.00678    0.08005
     0.00505    0.18832
     0.00358    0.30647
     0.00236    0.43353
     0.00137    0.56602
     0.00061    0.69722
     0.00009    0.81776
    -0.00022    0.91521
    -0.00030    0.97821
    -0.00017    0.99999
     0.00019    0.97421
     0.00080    0.89920
     0.00168    0.78432
     0.00283    0.64649
     0.00426    0.50440
     0.00595    0.37203
     0.00792    0.25686
     0.01017    0.15981
     0.01272    0.08119
     0.01560    0.02068
     0.01885   -0.02765
     0.02251   -0.06369
     0.02668   -0.08965
     0.03144   -0.10815
     0.03692   -0.11949
     0.04326   -0.12470
     0.05065   -0.12463
     0.05927   -0.12075
     0.06926   -0.11288
     0.08070   -0.10299
     0.09354   -0.09124
     0.10761   -0.07998
     0.12265   -0.06979
     0.13843   -0.06182
     0.15471   -0.05752
     0.17123   -0.05825
     0.18772   -0.06671
     0.20399   -0.09729
     0.21999   -0.11047
     0.23599   -0.11633
     0.25201   -0.11965
     0.26810   -0.12069
     0.28425   -0.12023
     0.30047   -0.11886
     0.31676   -0.11627
     0.33310   -0.11334
     0.34950   -0.10976
     0.36595   -0.10557
     0.38244   -0.10120
     0.39898   -0.09642
     0.41555   -0.09160
     0.43216   -0.08649
     0.44880   -0.08124
     0.46548   -0.07581
     0.48218   -0.07038
     0.49890   -0.06478
     0.51565   -0.05936
     0.53242   -0.05359
     0.54921   -0.04824
     0.56602   -0.04245
     0.58284   -0.03681
     0.59968   -0.03111
     0.61653   -0.02546
     0.63339   -0.01988
     0.65026   -0.01400
     0.66715   -0.00821
     0.68403   -0.00256
     0.70093    0.00346
     0.71783    0.00944
     0.73473    0.01563
     0.75164    0.02184
     0.76854    0.02851
     0.78545    0.03524
     0.80235    0.04234
     0.81925    0.04997
     0.83615    0.05807
     0.85303    0.06688
     0.86990    0.07639
     0.88672    0.08705
     0.90348    0.09932
     0.92009    0.11327
     0.93640    0.12981
     0.95215    0.15010
     0.96691    0.17524
     0.98018    0.20916
     0.99158    0.25266
     0.99994    0.41313
