#      x          Cp  
     1.00003    0.21081
     0.99183    0.18734
     0.98065    0.15540
     0.96762    0.12560
     0.95309    0.09852
     0.93754    0.07444
     0.92142    0.05307
     0.90498    0.03423
     0.88839    0.01744
     0.87172    0.00190
     0.85501   -0.01192
     0.83827   -0.02503
     0.82151   -0.03716
     0.80475   -0.04861
     0.78798   -0.05930
     0.77121   -0.06949
     0.75443   -0.07916
     0.73765   -0.08818
     0.72086   -0.09666
     0.70408   -0.10450
     0.68729   -0.11197
     0.67052   -0.11911
     0.65374   -0.12787
     0.63697   -0.14406
     0.62021   -0.17354
     0.60346   -0.20087
     0.58671   -0.20414
     0.56998   -0.21009
     0.55326   -0.21727
     0.53655   -0.22522
     0.51986   -0.23367
     0.50319   -0.24252
     0.48654   -0.25180
     0.46991   -0.26128
     0.45330   -0.27109
     0.43673   -0.28109
     0.42018   -0.29126
     0.40366   -0.30173
     0.38718   -0.31231
     0.37073   -0.32304
     0.35433   -0.33396
     0.33797   -0.34512
     0.32167   -0.35639
     0.30543   -0.36781
     0.28925   -0.37967
     0.27315   -0.39164
     0.25713   -0.40429
     0.24122   -0.41764
     0.22545   -0.43215
     0.20985   -0.44826
     0.19451   -0.46784
     0.17954   -0.48992
     0.16501   -0.51043
     0.15095   -0.52720
     0.13735   -0.53822
     0.12425   -0.54211
     0.11167   -0.53660
     0.09967   -0.52175
     0.08830   -0.49553
     0.07763   -0.45873
     0.06775   -0.41100
     0.05873   -0.35331
     0.05059   -0.28682
     0.04335   -0.21375
     0.03697   -0.13482
     0.03138   -0.05218
     0.02650    0.03349
     0.02225    0.12176
     0.01854    0.21166
     0.01530    0.30258
     0.01247    0.39476
     0.01000    0.48778
     0.00785    0.58075
     0.00598    0.67211
     0.00436    0.76067
     0.00299    0.84277
     0.00184    0.91434
     0.00092    0.96852
     0.00021    0.99759
    -0.00029    0.99184
    -0.00057    0.94361
    -0.00065    0.84735
    -0.00052    0.70058
    -0.00016    0.50530
     0.00045    0.27389
     0.00133    0.02835
     0.00248   -0.19957
     0.00390   -0.38475
     0.00559   -0.52047
     0.00756   -0.60917
     0.00979   -0.65635
     0.01232   -0.67469
     0.01516   -0.67069
     0.01837   -0.65119
     0.02199   -0.62180
     0.02611   -0.58512
     0.03084   -0.54453
     0.03632   -0.50171
     0.04274   -0.45763
     0.05032   -0.41443
     0.05933   -0.37317
     0.06998   -0.33614
     0.08235   -0.30547
     0.09626   -0.28425
     0.11131   -0.27309
     0.12704   -0.27166
     0.14308   -0.27764
     0.15916   -0.28825
     0.17517   -0.30122
     0.19105   -0.31368
     0.20684   -0.32104
     0.22265   -0.32320
     0.23851   -0.32242
     0.25447   -0.31950
     0.27050   -0.31548
     0.28661   -0.31016
     0.30279   -0.30422
     0.31904   -0.29767
     0.33536   -0.29059
     0.35173   -0.28325
     0.36815   -0.27563
     0.38461   -0.26779
     0.40112   -0.25989
     0.41767   -0.25189
     0.43425   -0.24379
     0.45087   -0.23578
     0.46751   -0.22779
     0.48418   -0.21984
     0.50088   -0.21204
     0.51760   -0.20454
     0.53434   -0.19722
     0.55110   -0.19041
     0.56788   -0.18429
     0.58467   -0.17947
     0.60147   -0.17708
     0.61829   -0.15102
     0.63511   -0.12589
     0.65195   -0.11185
     0.66879   -0.10361
     0.68564   -0.09711
     0.70249   -0.09042
     0.71935   -0.08313
     0.73621   -0.07545
     0.75307   -0.06697
     0.76993   -0.05815
     0.78678   -0.04876
     0.80364   -0.03867
     0.82048   -0.02809
     0.83732   -0.01671
     0.85414   -0.00437
     0.87094    0.00883
     0.88771    0.02340
     0.90439    0.03951
     0.92091    0.05746
     0.93713    0.07792
     0.95277    0.10111
     0.96738    0.12744
     0.98048    0.15643
     0.99173    0.18783
     0.99997    0.21081
