#      x          Cp  
     1.00003    0.20399
     0.99183    0.18390
     0.98065    0.15650
     0.96762    0.12734
     0.95309    0.09813
     0.93754    0.07015
     0.92142    0.04399
     0.90498    0.01989
     0.88839   -0.00232
     0.87172   -0.02321
     0.85501   -0.04251
     0.83827   -0.06098
     0.82151   -0.07853
     0.80475   -0.09543
     0.78798   -0.11169
     0.77121   -0.12756
     0.75443   -0.14313
     0.73765   -0.15835
     0.72086   -0.17340
     0.70408   -0.18830
     0.68729   -0.20330
     0.67052   -0.21813
     0.65374   -0.23292
     0.63697   -0.24799
     0.62021   -0.26289
     0.60346   -0.27819
     0.58671   -0.29346
     0.56998   -0.30905
     0.55326   -0.32478
     0.53655   -0.34092
     0.51986   -0.35718
     0.50319   -0.37363
     0.48654   -0.39075
     0.46991   -0.40781
     0.45330   -0.42553
     0.43673   -0.44342
     0.42018   -0.46155
     0.40366   -0.48035
     0.38718   -0.49919
     0.37073   -0.51818
     0.35433   -0.53727
     0.33797   -0.55624
     0.32167   -0.57428
     0.30543   -0.59090
     0.28925   -0.60842
     0.27315   -0.64241
     0.25713   -0.74984
     0.24122   -0.77276
     0.22545   -0.80057
     0.20985   -0.83146
     0.19451   -0.86626
     0.17954   -0.90638
     0.16501   -0.95142
     0.15095   -0.99847
     0.13735   -1.04382
     0.12425   -1.08481
     0.11167   -1.11838
     0.09967   -1.14420
     0.08830   -1.15968
     0.07763   -1.16537
     0.06775   -1.16028
     0.05873   -1.14488
     0.05059   -1.11967
     0.04335   -1.08665
     0.03697   -1.04569
     0.03138   -0.99894
     0.02650   -0.94650
     0.02225   -0.88823
     0.01854   -0.82493
     0.01530   -0.75681
     0.01247   -0.68215
     0.01000   -0.59980
     0.00785   -0.50924
     0.00598   -0.40963
     0.00436   -0.29834
     0.00299   -0.17416
     0.00184   -0.03690
     0.00092    0.11365
     0.00021    0.27600
    -0.00029    0.44381
    -0.00057    0.60645
    -0.00065    0.75553
    -0.00052    0.87871
    -0.00016    0.96369
     0.00045    0.99919
     0.00133    0.98303
     0.00248    0.92300
     0.00390    0.83560
     0.00559    0.73693
     0.00756    0.64020
     0.00979    0.55275
     0.01232    0.47694
     0.01516    0.41349
     0.01837    0.36157
     0.02199    0.31917
     0.02611    0.28542
     0.03084    0.25828
     0.03632    0.23648
     0.04274    0.21933
     0.05032    0.20475
     0.05933    0.19190
     0.06998    0.17895
     0.08235    0.16484
     0.09626    0.14759
     0.11131    0.12724
     0.12704    0.10354
     0.14308    0.07756
     0.15916    0.05063
     0.17517    0.02382
     0.19105   -0.00112
     0.20684   -0.02062
     0.22265   -0.03475
     0.23851   -0.04560
     0.25447   -0.05393
     0.27050   -0.06071
     0.28661   -0.06574
     0.30279   -0.06970
     0.31904   -0.07257
     0.33536   -0.07448
     0.35173   -0.07570
     0.36815   -0.07622
     0.38461   -0.07614
     0.40112   -0.07563
     0.41767   -0.07466
     0.43425   -0.07323
     0.45087   -0.07157
     0.46751   -0.06956
     0.48418   -0.06721
     0.50088   -0.06465
     0.51760   -0.06199
     0.53434   -0.05897
     0.55110   -0.05587
     0.56788   -0.05258
     0.58467   -0.04920
     0.60147   -0.04553
     0.61829   -0.04182
     0.63511   -0.03789
     0.65195   -0.03388
     0.66879   -0.02958
     0.68564   -0.02521
     0.70249   -0.02061
     0.71935   -0.01577
     0.73621   -0.01076
     0.75307   -0.00540
     0.76993    0.00020
     0.78678    0.00613
     0.80364    0.01241
     0.82048    0.01897
     0.83732    0.02579
     0.85414    0.03271
     0.87094    0.03945
     0.88771    0.04572
     0.90439    0.05125
     0.92091    0.05603
     0.93713    0.06026
     0.95277    0.06393
     0.96738    0.06712
     0.98048    0.08798
     0.99173    0.15928
     0.99997    0.20399
