#      x          Cp  
     1.00000    0.21376
     0.99169    0.18946
     0.98040    0.15666
     0.96730    0.12697
     0.95276    0.10025
     0.93725    0.07667
     0.92118    0.05612
     0.90482    0.03790
     0.88831    0.02171
     0.87173    0.00696
     0.85510   -0.00622
     0.83845   -0.01853
     0.82178   -0.02975
     0.80511   -0.04037
     0.78843   -0.04986
     0.77174   -0.05891
     0.75505   -0.06703
     0.73836   -0.07445
     0.72167   -0.08162
     0.70498   -0.09018
     0.68829   -0.10462
     0.67160   -0.13179
     0.65492   -0.16299
     0.63825   -0.16549
     0.62158   -0.17055
     0.60492   -0.17689
     0.58827   -0.18387
     0.57163   -0.19135
     0.55501   -0.19921
     0.53840   -0.20734
     0.52180   -0.21579
     0.50523   -0.22438
     0.48867   -0.23316
     0.47213   -0.24209
     0.45562   -0.25112
     0.43914   -0.26034
     0.42268   -0.26953
     0.40625   -0.27884
     0.38986   -0.28815
     0.37351   -0.29759
     0.35720   -0.30687
     0.34093   -0.31626
     0.32471   -0.32547
     0.30855   -0.33467
     0.29246   -0.34370
     0.27642   -0.35255
     0.26047   -0.36117
     0.24460   -0.36952
     0.22884   -0.37753
     0.21318   -0.38513
     0.19767   -0.39216
     0.18231   -0.39853
     0.16714   -0.40411
     0.15222   -0.40866
     0.13759   -0.41217
     0.12335   -0.41395
     0.10962   -0.41398
     0.09654   -0.41158
     0.08428   -0.40658
     0.07303   -0.39833
     0.06290   -0.38664
     0.05394   -0.37093
     0.04612   -0.35106
     0.03934   -0.32673
     0.03347   -0.29747
     0.02838   -0.26283
     0.02395   -0.22163
     0.02009   -0.17371
     0.01669   -0.11784
     0.01371   -0.05110
     0.01109    0.02654
     0.00879    0.11642
     0.00678    0.22095
     0.00504    0.33960
     0.00357    0.47026
     0.00236    0.60787
     0.00140    0.74323
     0.00070    0.86209
     0.00024    0.94958
     0.00003    0.99446
     0.00003    0.99446
     0.00024    0.94958
     0.00070    0.86209
     0.00140    0.74323
     0.00236    0.60787
     0.00357    0.47026
     0.00504    0.33960
     0.00678    0.22095
     0.00879    0.11642
     0.01109    0.02654
     0.01371   -0.05110
     0.01669   -0.11784
     0.02009   -0.17371
     0.02395   -0.22163
     0.02838   -0.26283
     0.03347   -0.29747
     0.03934   -0.32673
     0.04612   -0.35106
     0.05394   -0.37093
     0.06290   -0.38664
     0.07303   -0.39833
     0.08428   -0.40658
     0.09654   -0.41158
     0.10962   -0.41398
     0.12335   -0.41395
     0.13759   -0.41217
     0.15222   -0.40866
     0.16714   -0.40411
     0.18231   -0.39853
     0.19767   -0.39216
     0.21318   -0.38513
     0.22884   -0.37753
     0.24460   -0.36952
     0.26047   -0.36117
     0.27642   -0.35255
     0.29246   -0.34370
     0.30855   -0.33467
     0.32471   -0.32547
     0.34093   -0.31626
     0.35720   -0.30687
     0.37351   -0.29759
     0.38986   -0.28815
     0.40625   -0.27884
     0.42268   -0.26953
     0.43914   -0.26034
     0.45562   -0.25112
     0.47213   -0.24209
     0.48867   -0.23316
     0.50523   -0.22438
     0.52180   -0.21579
     0.53840   -0.20734
     0.55501   -0.19921
     0.57163   -0.19135
     0.58827   -0.18387
     0.60492   -0.17689
     0.62158   -0.17055
     0.63825   -0.16549
     0.65492   -0.16299
     0.67160   -0.13179
     0.68829   -0.10462
     0.70498   -0.09018
     0.72167   -0.08162
     0.73836   -0.07445
     0.75505   -0.06703
     0.77174   -0.05891
     0.78843   -0.04986
     0.80511   -0.04037
     0.82178   -0.02975
     0.83845   -0.01853
     0.85510   -0.00622
     0.87173    0.00696
     0.88831    0.02171
     0.90482    0.03790
     0.92118    0.05612
     0.93725    0.07667
     0.95276    0.10025
     0.96730    0.12697
     0.98040    0.15666
     0.99169    0.18946
     1.00000    0.21376
