#      x          Cp  
     1.00000    0.22141
     0.99169    0.19454
     0.98040    0.15901
     0.96730    0.12785
     0.95276    0.10024
     0.93725    0.07603
     0.92118    0.05498
     0.90482    0.03626
     0.88831    0.01956
     0.87173    0.00422
     0.85510   -0.00961
     0.83845   -0.02269
     0.82178   -0.03483
     0.80511   -0.04657
     0.78843   -0.05743
     0.77174   -0.06818
     0.75505   -0.07839
     0.73836   -0.08832
     0.72167   -0.09808
     0.70498   -0.10777
     0.68829   -0.11706
     0.67160   -0.12649
     0.65492   -0.13546
     0.63825   -0.14490
     0.62158   -0.15378
     0.60492   -0.16309
     0.58827   -0.17206
     0.57163   -0.18115
     0.55501   -0.19027
     0.53840   -0.19924
     0.52180   -0.20860
     0.50523   -0.21761
     0.48867   -0.22676
     0.47213   -0.23591
     0.45562   -0.24487
     0.43914   -0.25400
     0.42268   -0.26252
     0.40625   -0.27070
     0.38986   -0.27770
     0.37351   -0.28423
     0.35720   -0.29177
     0.34093   -0.32127
     0.32471   -0.32555
     0.30855   -0.33336
     0.29246   -0.34191
     0.27642   -0.35058
     0.26047   -0.35915
     0.24460   -0.36751
     0.22884   -0.37556
     0.21318   -0.38323
     0.19767   -0.39033
     0.18231   -0.39678
     0.16714   -0.40243
     0.15222   -0.40702
     0.13759   -0.41068
     0.12335   -0.41250
     0.10962   -0.41266
     0.09654   -0.41033
     0.08428   -0.40547
     0.07303   -0.39732
     0.06290   -0.38582
     0.05394   -0.37027
     0.04612   -0.35060
     0.03934   -0.32649
     0.03347   -0.29744
     0.02838   -0.26313
     0.02395   -0.22213
     0.02009   -0.17439
     0.01669   -0.11901
     0.01371   -0.05246
     0.01109    0.02505
     0.00879    0.11462
     0.00678    0.21905
     0.00504    0.33771
     0.00357    0.46853
     0.00236    0.60639
     0.00140    0.74216
     0.00070    0.86148
     0.00024    0.94934
     0.00003    0.99443
     0.00003    0.99443
     0.00024    0.94934
     0.00070    0.86148
     0.00140    0.74216
     0.00236    0.60639
     0.00357    0.46853
     0.00504    0.33771
     0.00678    0.21905
     0.00879    0.11462
     0.01109    0.02505
     0.01371   -0.05246
     0.01669   -0.11901
     0.02009   -0.17439
     0.02395   -0.22213
     0.02838   -0.26313
     0.03347   -0.29744
     0.03934   -0.32649
     0.04612   -0.35060
     0.05394   -0.37027
     0.06290   -0.38582
     0.07303   -0.39732
     0.08428   -0.40547
     0.09654   -0.41033
     0.10962   -0.41266
     0.12335   -0.41250
     0.13759   -0.41068
     0.15222   -0.40702
     0.16714   -0.40243
     0.18231   -0.39678
     0.19767   -0.39033
     0.21318   -0.38323
     0.22884   -0.37556
     0.24460   -0.36751
     0.26047   -0.35915
     0.27642   -0.35058
     0.29246   -0.34191
     0.30855   -0.33336
     0.32471   -0.32555
     0.34093   -0.32127
     0.35720   -0.29177
     0.37351   -0.28423
     0.38986   -0.27770
     0.40625   -0.27070
     0.42268   -0.26252
     0.43914   -0.25400
     0.45562   -0.24487
     0.47213   -0.23591
     0.48867   -0.22676
     0.50523   -0.21761
     0.52180   -0.20860
     0.53840   -0.19924
     0.55501   -0.19027
     0.57163   -0.18115
     0.58827   -0.17206
     0.60492   -0.16309
     0.62158   -0.15378
     0.63825   -0.14490
     0.65492   -0.13546
     0.67160   -0.12649
     0.68829   -0.11706
     0.70498   -0.10777
     0.72167   -0.09808
     0.73836   -0.08832
     0.75505   -0.07839
     0.77174   -0.06818
     0.78843   -0.05743
     0.80511   -0.04657
     0.82178   -0.03483
     0.83845   -0.02269
     0.85510   -0.00961
     0.87173    0.00422
     0.88831    0.01956
     0.90482    0.03626
     0.92118    0.05498
     0.93725    0.07603
     0.95276    0.10024
     0.96730    0.12785
     0.98040    0.15901
     0.99169    0.19454
     1.00000    0.22141
