#      x          Cp  
     1.00000    0.21468
     0.99169    0.19173
     0.98040    0.16044
     0.96730    0.12982
     0.95276    0.10090
     0.93725    0.07447
     0.92118    0.05082
     0.90482    0.02946
     0.88831    0.01015
     0.87173   -0.00768
     0.85510   -0.02399
     0.83845   -0.03944
     0.82178   -0.05390
     0.80511   -0.06786
     0.78843   -0.08095
     0.77174   -0.09384
     0.75505   -0.10619
     0.73836   -0.11821
     0.72167   -0.13001
     0.70498   -0.14169
     0.68829   -0.15295
     0.67160   -0.16424
     0.65492   -0.17504
     0.63825   -0.18613
     0.62158   -0.19656
     0.60492   -0.20713
     0.58827   -0.21708
     0.57163   -0.22669
     0.55501   -0.23580
     0.53840   -0.24445
     0.52180   -0.25465
     0.50523   -0.27180
     0.48867   -0.30698
     0.47213   -0.34282
     0.45562   -0.34822
     0.43914   -0.35689
     0.42268   -0.36705
     0.40625   -0.37824
     0.38986   -0.39014
     0.37351   -0.40274
     0.35720   -0.41577
     0.34093   -0.42937
     0.32471   -0.44330
     0.30855   -0.45768
     0.29246   -0.47237
     0.27642   -0.48739
     0.26047   -0.50271
     0.24460   -0.51835
     0.22884   -0.53428
     0.21318   -0.55051
     0.19767   -0.56699
     0.18231   -0.58375
     0.16714   -0.60076
     0.15222   -0.61799
     0.13759   -0.63559
     0.12335   -0.65309
     0.10962   -0.67069
     0.09654   -0.68786
     0.08428   -0.70455
     0.07303   -0.72005
     0.06290   -0.73400
     0.05394   -0.74550
     0.04612   -0.75413
     0.03934   -0.75928
     0.03347   -0.76025
     0.02838   -0.75641
     0.02395   -0.74630
     0.02009   -0.72954
     0.01669   -0.70450
     0.01371   -0.66696
     0.01109   -0.61615
     0.00879   -0.54907
     0.00678   -0.45992
     0.00504   -0.34576
     0.00357   -0.20413
     0.00236   -0.03441
     0.00140    0.15958
     0.00070    0.36531
     0.00024    0.56374
     0.00003    0.73483
     0.00003    0.86574
     0.00024    0.95525
     0.00070    0.99701
     0.00140    0.99082
     0.00236    0.94502
     0.00357    0.87245
     0.00504    0.78458
     0.00678    0.69125
     0.00879    0.59793
     0.01109    0.50909
     0.01371    0.42542
     0.01669    0.34777
     0.02009    0.27705
     0.02395    0.21198
     0.02838    0.15207
     0.03347    0.09751
     0.03934    0.04761
     0.04612    0.00225
     0.05394   -0.03868
     0.06290   -0.07515
     0.07303   -0.10691
     0.08428   -0.13419
     0.09654   -0.15691
     0.10962   -0.17558
     0.12335   -0.19037
     0.13759   -0.20203
     0.15222   -0.21072
     0.16714   -0.21725
     0.18231   -0.22179
     0.19767   -0.22466
     0.21318   -0.22614
     0.22884   -0.22640
     0.24460   -0.22567
     0.26047   -0.22408
     0.27642   -0.22177
     0.29246   -0.21883
     0.30855   -0.21534
     0.32471   -0.21134
     0.34093   -0.20703
     0.35720   -0.20225
     0.37351   -0.19735
     0.38986   -0.19202
     0.40625   -0.18662
     0.42268   -0.18098
     0.43914   -0.17527
     0.45562   -0.16930
     0.47213   -0.16334
     0.48867   -0.15726
     0.50523   -0.15111
     0.52180   -0.14494
     0.53840   -0.13860
     0.55501   -0.13233
     0.57163   -0.12598
     0.58827   -0.11961
     0.60492   -0.11323
     0.62158   -0.10673
     0.63825   -0.10032
     0.65492   -0.09375
     0.67160   -0.08729
     0.68829   -0.08074
     0.70498   -0.07423
     0.72167   -0.06769
     0.73836   -0.06121
     0.75505   -0.05483
     0.77174   -0.04857
     0.78843   -0.04247
     0.80511   -0.03665
     0.82178   -0.03110
     0.83845   -0.02600
     0.85510   -0.02162
     0.87173   -0.01151
     0.88831    0.02756
     0.90482    0.05784
     0.92118    0.07743
     0.93725    0.09391
     0.95276    0.11213
     0.96730    0.13376
     0.98040    0.15948
     0.99169    0.19114
     1.00000    0.21468
