#      x          Cp  
     1.00000    0.20947
     0.99169    0.18890
     0.98040    0.16095
     0.96730    0.13167
     0.95276    0.10242
     0.93725    0.07455
     0.92118    0.04877
     0.90482    0.02499
     0.88831    0.00309
     0.87173   -0.01734
     0.85510   -0.03630
     0.83845   -0.05434
     0.82178   -0.07141
     0.80511   -0.08794
     0.78843   -0.10366
     0.77174   -0.11914
     0.75505   -0.13413
     0.73836   -0.14885
     0.72167   -0.16340
     0.70498   -0.17790
     0.68829   -0.19211
     0.67160   -0.20645
     0.65492   -0.22052
     0.63825   -0.23502
     0.62158   -0.24920
     0.60492   -0.26381
     0.58827   -0.27831
     0.57163   -0.29304
     0.55501   -0.30796
     0.53840   -0.32297
     0.52180   -0.33848
     0.50523   -0.35394
     0.48867   -0.36975
     0.47213   -0.38584
     0.45562   -0.40207
     0.43914   -0.41881
     0.42268   -0.43551
     0.40625   -0.45261
     0.38986   -0.46971
     0.37351   -0.48725
     0.35720   -0.50431
     0.34093   -0.52153
     0.32471   -0.53795
     0.30855   -0.55420
     0.29246   -0.57219
     0.27642   -0.60313
     0.26047   -0.66384
     0.24460   -0.69336
     0.22884   -0.71052
     0.21318   -0.73184
     0.19767   -0.75580
     0.18231   -0.78198
     0.16714   -0.81025
     0.15222   -0.84062
     0.13759   -0.87332
     0.12335   -0.90818
     0.10962   -0.94554
     0.09654   -0.98517
     0.08428   -1.02712
     0.07303   -1.07073
     0.06290   -1.11550
     0.05394   -1.16031
     0.04612   -1.20446
     0.03934   -1.24715
     0.03347   -1.28751
     0.02838   -1.32490
     0.02395   -1.35780
     0.02009   -1.38576
     0.01669   -1.40702
     0.01371   -1.41657
     0.01109   -1.41302
     0.00879   -1.39207
     0.00678   -1.34476
     0.00504   -1.26459
     0.00357   -1.14388
     0.00236   -0.97516
     0.00140   -0.75366
     0.00070   -0.48813
     0.00024   -0.19732
     0.00003    0.08997
     0.00003    0.35111
     0.00024    0.58156
     0.00070    0.76999
     0.00140    0.90116
     0.00236    0.97537
     0.00357    0.99983
     0.00504    0.98673
     0.00678    0.94761
     0.00879    0.89266
     0.01109    0.82823
     0.01371    0.75976
     0.01669    0.68933
     0.02009    0.62001
     0.02395    0.55191
     0.02838    0.48581
     0.03347    0.42234
     0.03934    0.36156
     0.04612    0.30378
     0.05394    0.24935
     0.06290    0.19873
     0.07303    0.15257
     0.08428    0.11112
     0.09654    0.07476
     0.10962    0.04324
     0.12335    0.01646
     0.13759   -0.00627
     0.15222   -0.02517
     0.16714   -0.04110
     0.18231   -0.05431
     0.19767   -0.06521
     0.21318   -0.07414
     0.22884   -0.08133
     0.24460   -0.08708
     0.26047   -0.09156
     0.27642   -0.09495
     0.29246   -0.09738
     0.30855   -0.09896
     0.32471   -0.09975
     0.34093   -0.10000
     0.35720   -0.09954
     0.37351   -0.09875
     0.38986   -0.09734
     0.40625   -0.09569
     0.42268   -0.09364
     0.43914   -0.09137
     0.45562   -0.08869
     0.47213   -0.08590
     0.48867   -0.08286
     0.50523   -0.07964
     0.52180   -0.07631
     0.53840   -0.07268
     0.55501   -0.06905
     0.57163   -0.06524
     0.58827   -0.06131
     0.60492   -0.05729
     0.62158   -0.05304
     0.63825   -0.04882
     0.65492   -0.04428
     0.67160   -0.03979
     0.68829   -0.03502
     0.70498   -0.03017
     0.72167   -0.02504
     0.73836   -0.01975
     0.75505   -0.01425
     0.77174   -0.00851
     0.78843   -0.00247
     0.80511    0.00375
     0.82178    0.01026
     0.83845    0.01687
     0.85510    0.02350
     0.87173    0.02992
     0.88831    0.03593
     0.90482    0.04136
     0.92118    0.04617
     0.93725    0.05048
     0.95276    0.05441
     0.96730    0.05798
     0.98040    0.12341
     0.99169    0.17745
     1.00000    0.20947
