  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.4736   0.00000  -0.00109  -0.0210   0.0000   0.0000   0.0000   0.0000
  -4.500  -0.4133   0.00000  -0.00108  -0.0216   0.0000   0.0000   0.0000   0.0000
  -4.000  -0.3530   0.00000  -0.00108  -0.0223   0.0000   0.0000   0.0000   0.0000
  -3.500  -0.2926   0.00000  -0.00107  -0.0230   0.0000   0.0000   0.0000   0.0000
  -3.000  -0.2322   0.00000  -0.00107  -0.0237   0.0000   0.0000   0.0000   0.0000
  -2.500  -0.1719   0.00000  -0.00107  -0.0244   0.0000   0.0000   0.0000   0.0000
  -2.000  -0.1114   0.00000  -0.00107  -0.0251   0.0000   0.0000   0.0000   0.0000
  -1.500  -0.0510   0.00000  -0.00106  -0.0257   0.0000   0.0000   0.0000   0.0000
  -1.000   0.0094   0.00000  -0.00106  -0.0264   0.0000   0.0000   0.0000   0.0000
  -0.500   0.0698   0.00000  -0.00106  -0.0271   0.0000   0.0000   0.0000   0.0000
   0.000   0.1302   0.00000  -0.00106  -0.0279   0.0000   0.0000   0.0000   0.0000
   0.500   0.1906   0.00000  -0.00106  -0.0286   0.0000   0.0000   0.0000   0.0000
   1.000   0.2510   0.00000  -0.00107  -0.0293   0.0000   0.0000   0.0000   0.0000
   1.500   0.3114   0.00000  -0.00107  -0.0300   0.0000   0.0000   0.0000   0.0000
   2.000   0.3717   0.00000  -0.00107  -0.0307   0.0000   0.0000   0.0000   0.0000
   2.500   0.4320   0.00000  -0.00107  -0.0314   0.0000   0.0000   0.0000   0.0000
   3.000   0.4923   0.00000  -0.00108  -0.0321   0.0000   0.0000   0.0000   0.0000
   3.500   0.5526   0.00000  -0.00108  -0.0328   0.0000   0.0000   0.0000   0.0000
   4.000   0.6128   0.00000  -0.00109  -0.0335   0.0000   0.0000   0.0000   0.0000
   4.500   0.6729   0.00000  -0.00110  -0.0342   0.0000   0.0000   0.0000   0.0000
   5.000   0.7330   0.00000  -0.00110  -0.0350   0.0000   0.0000   0.0000   0.0000
   5.500   0.7931   0.00000  -0.00111  -0.0357   0.0000   0.0000   0.0000   0.0000
   6.000   0.8531   0.00000  -0.00112  -0.0364   0.0000   0.0000   0.0000   0.0000
   6.500   0.9130   0.00000  -0.00113  -0.0371   0.0000   0.0000   0.0000   0.0000
   7.000   0.9728   0.00000  -0.00114  -0.0378   0.0000   0.0000   0.0000   0.0000
   7.500   1.0326   0.00000  -0.00115  -0.0385   0.0000   0.0000   0.0000   0.0000
  -5.000  -0.4736   0.00000  -0.00109  -0.0210   0.0000   0.0000   0.0000   0.0000
  -4.500  -0.4133   0.00000  -0.00108  -0.0216   0.0000   0.0000   0.0000   0.0000
   8.000   1.0923   0.00000  -0.00116  -0.0392   0.0000   0.0000   0.0000   0.0000
  -4.000  -0.3530   0.00000  -0.00108  -0.0223   0.0000   0.0000   0.0000   0.0000
  -3.500  -0.2926   0.00000  -0.00107  -0.0230   0.0000   0.0000   0.0000   0.0000
   8.500   1.1519   0.00000  -0.00117  -0.0400   0.0000   0.0000   0.0000   0.0000
  -3.000  -0.2322   0.00000  -0.00107  -0.0237   0.0000   0.0000   0.0000   0.0000
   9.000   1.2115   0.00000  -0.00118  -0.0407   0.0000   0.0000   0.0000   0.0000
  -2.500  -0.1719   0.00000  -0.00107  -0.0244   0.0000   0.0000   0.0000   0.0000
   9.500   1.2709   0.00000  -0.00119  -0.0414   0.0000   0.0000   0.0000   0.0000
  -2.000  -0.1114   0.00000  -0.00107  -0.0251   0.0000   0.0000   0.0000   0.0000
  10.000   1.3303   0.00000  -0.00121  -0.0421   0.0000   0.0000   0.0000   0.0000
  -1.500  -0.0510   0.00000  -0.00106  -0.0257   0.0000   0.0000   0.0000   0.0000
  10.500   1.3895   0.00000  -0.00122  -0.0428   0.0000   0.0000   0.0000   0.0000
  -1.000   0.0094   0.00000  -0.00106  -0.0264   0.0000   0.0000   0.0000   0.0000
  11.000   1.4486   0.00000  -0.00123  -0.0435   0.0000   0.0000   0.0000   0.0000
  -0.500   0.0698   0.00000  -0.00106  -0.0271   0.0000   0.0000   0.0000   0.0000
